ID_CLIENTE,SEXO,DATA_NASCIMENTO,PRIMEIRA_COMPRA
0, ,1900/01/01,1900/01/01
1,F,1983/02/25,1900/01/01
2,F,1986/11/01,1900/01/01
3,F,1984/09/13,2021/06/20
4, ,1900/01/01,2021/06/20
5,M,1997/07/16,2021/06/20
6,M,1990/10/27,2021/06/20
7,M,1988/01/28,2021/06/20
8,M,1983/07/19,1900/01/01
9,M,2000/01/01,2021/06/20
10, ,1900/01/01,2021/06/20
11,F,1965/04/05,2021/06/20
12,F,1970/11/21,2021/06/20
13, ,1900/01/01,1900/01/01
14,m,1961/01/18,2020/09/22
15, ,1900/01/01,2020/09/22
16, ,1900/01/01,2020/09/22
17,f,1963/10/13,2021/01/22
18, ,1900/01/01,2020/09/22
19,f,1972/09/12,1900/01/01
20,M,1998/12/21,2020/09/22
21,f,1996/05/18,2020/09/22
22,m,1982/04/05,2020/09/22
23,m,1981/02/05,2020/09/22
24,m,1981/03/26,2020/09/22
25,f,1998/03/30,2020/09/22
26,f,1979/01/27,2020/09/22
27,m,1981/01/14,2020/11/07
28, ,1981/01/14,2020/09/22
29, ,1900/01/01,2020/09/22
30, ,1900/01/01,2020/10/06
31,f,2000/05/26,2021/01/31
32,f,1971/10/17,2020/09/22
33,m,1998/06/09,2020/09/22
34,f,1987/09/17,2020/09/22
35,m,1967/11/22,2020/09/22
36,m,1990/02/06,2020/09/22
37,f,1944/05/16,2020/09/22
38,m,1960/05/17,2020/09/22
39,f,1987/06/22,2020/09/22
40, ,1900/01/01,2020/09/19
41, ,1900/01/01,2020/09/22
42,m,1982/06/30,2020/09/22
43, ,1900/01/01,2020/09/21
44, ,1900/01/01,2020/09/22
45,f,1958/11/25,2020/09/22
46, ,1900/01/01,2020/09/22
47, ,1900/01/01,2020/09/22
48,f,1986/11/28,2020/09/22
49,m,1972/01/28,2020/09/22
50,m,1965/07/27,2020/09/22
51,m,1965/06/09,2020/09/22
52, ,1900/01/01,2020/09/22
53,f,1983/03/05,2020/09/22
54,m,1969/07/26,2020/09/22
55,f,1986/07/05,2020/10/01
56,F,1900/01/01,2020/09/22
57, ,1992/01/22,2021/01/15
58,m,1975/12/09,2020/09/22
59,f,1970/12/19,2020/09/22
60,f,1976/01/10,2020/09/22
61,F,1951/10/11,2020/09/23
62,F,1988/08/14,2020/09/23
63, ,1900/01/01,2020/09/23
64, ,1900/01/01,2020/09/23
65,F,1980/02/21,2020/09/23
66,M,1985/08/23,2021/02/16
67,F,1974/08/02,1900/01/01
68,F,1987/04/23,2020/09/23
69,F,1956/11/29,1900/01/01
70,F,1988/12/11,2020/09/23
71,F,1984/08/08,1900/01/01
72, ,1900/01/01,2017/01/24
73,F,1900/01/01,2017/02/14
74, ,1900/01/01,2017/04/25
75, ,1900/01/01,2017/03/15
76, ,1964/12/24,2018/01/15
77, ,1900/01/01,2017/02/17
78, ,1900/01/01,2017/03/06
79, ,1900/01/01,2017/03/06
80, ,1900/01/01,2017/02/02
81, ,1900/01/01,2017/03/06
82, ,1900/01/01,2017/03/06
83, ,1900/01/01,2017/03/06
84, ,1900/01/01,2017/03/06
85, ,1900/01/01,2017/03/06
86, ,1900/01/01,2017/03/06
87, ,1900/01/01,2017/02/18
88, ,1900/01/01,2017/01/16
89, ,1900/01/01,2017/02/18
90, ,1900/01/01,2017/03/07
91, ,1900/01/01,2017/03/07
92, ,1900/01/01,2017/04/27
93, ,1900/01/01,2017/03/09
94, ,1900/01/01,2017/03/09
95, ,1900/01/01,2017/03/09
96, ,1900/01/01,2017/03/10
97, ,1900/01/01,2017/03/10
98, ,1900/01/01,2017/02/19
99, ,1900/01/01,2017/03/10
100, ,1900/01/01,2017/03/10
101, ,1900/01/01,2017/03/10
102, ,1900/01/01,2017/03/10
103, ,1900/01/01,2017/03/10
104, ,1900/01/01,2017/03/10
105, ,1900/01/01,2017/03/10
106, ,1900/01/01,2017/03/10
107, ,1900/01/01,2017/03/11
108, ,1900/01/01,2017/03/11
109, ,1900/01/01,2017/03/11
110, ,1900/01/01,2017/03/11
111, ,1900/01/01,2017/03/11
112, ,1900/01/01,2017/03/11
113, ,1900/01/01,2017/03/11
114, ,1900/01/01,2017/03/11
115, ,1900/01/01,2017/03/11
116, ,1900/01/01,2017/03/12
117, ,1900/01/01,2017/03/12
118, ,1900/01/01,2017/03/12
