customerID;M-0;M-1;M-10;M-11;M-12;M-13;M-14;M-15;M-16;M-17;M-18;M-19;M-2;M-20;M-21;M-22;M-23;M-24;M-25;M-26;M-27;M-28;M-29;M-3;M-30;M-31;M-32;M-33;M-34;M-35;M-36;M-37;M-38;M-39;M-4;M-40;M-41;M-42;M-43;M-44;M-45;M-46;M-47;M-48;M-49;M-5;M-50;M-51;M-52;M-53;M-54;M-55;M-56;M-57;M-58;M-59;M-6;M-60;M-61;M-62;M-63;M-64;M-65;M-66;M-67;M-68;M-69;M-7;M-70;M-71;M-8;M-9
0002-ORFBO;65,745;65,658;;;;;;;;;;;66,586;;;;;;;;;;;65,629;;;;;;;;;;;66,267;;;;;;;;;;;65,6;;;;;;;;;;;65,919;;;;;;;;;;;65,687;;;66,209;
0003-MKNFE;61,022;60,098;;;;;;;;;;;60,461;;;;;;;;;;;59,999;;;;;;;;;;;59,9;;;;;;;;;;;60,362;;;;;;;;;;;60,131;;;;;;;;;;;60,164;;;60,263;
0004-TLHLJ;66,3775;71,245;;;;;;;;;;;73,9;;;;;;;;;;;69,3275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0011-IGKFF;96,554;97,6385;95,4695;92,5775;97,277;;;;;;;;94,0235;;;;;;;;;;;95,831;;;;;;;;;;;97,6385;;;;;;;;;;;90,047;;;;;;;;;;;94,7465;;;;;;;;;;;95,4695;;;94,0235;96,554
0013-EXCHZ;92,221;84,214;;;;;;;;;;;90,965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0013-MHZWF;53,9865;68,337;;;;;;;;;;;67,8055;;;;;;;;;;;59,833;;;;;;;;;;;69,4;;;;;;;;;;;59,3015;;;;;;;;;;;66,211;;;;;;;;;;;66,211;;;60,3645;
0013-SMEOE;109,7;109,7;109,7;109,7;110,8555;109,7;115,4775;113,1665;112,011;109,7;110,8555;115,4775;109,7;109,7;117,7885;110,8555;109,7;109,7;109,7;112,011;109,7;112,011;112,011;110,8555;116,633;112,011;114,322;109,7;109,7;109,7;110,8555;112,011;110,8555;113,1665;109,7;110,8555;109,7;109,7;110,8555;109,7;110,8555;110,8555;116,633;109,7;113,1665;109,7;110,8555;109,7;109,7;113,1665;112,011;115,4775;109,7;109,7;115,4775;109,7;110,8555;110,8555;109,7;109,7;110,8555;109,7;110,8555;114,322;114,322;109,7;109,7;113,1665;109,7;;115,4775;109,7
0014-BMAQU;85,0985;85,0985;85,0985;85,547;85,0985;85,9955;84,65;85,547;84,65;84,65;84,65;85,547;85,547;86,8925;84,65;84,65;86,444;85,0985;85,547;84,65;84,65;85,0985;85,0985;84,65;86,8925;85,547;87,7895;85,9955;84,65;85,0985;84,65;85,9955;85,547;84,65;84,65;86,444;84,65;85,9955;85,0985;85,0985;85,0985;87,341;84,65;85,547;85,0985;85,9955;85,0985;84,65;86,444;84,65;84,65;84,65;86,8925;85,547;85,547;87,341;85,0985;85,547;85,0985;84,65;;;;;;;;84,65;;;85,0985;85,0985
0015-UOCOJ;48,495;48,79;;;;;;;;;;;48,731;;;;;;;;;;;48,7605;;;;;;;;;;;48,495;;;;;;;;;;;48,849;;;;;;;;;;;48,2295;;;;;;;;;;;;;;;
0016-QLJIS;90,45;96,742;91,2365;92,8095;91,2365;94,3825;92,023;91,2365;90,45;90,45;90,45;90,45;92,023;90,45;90,45;92,023;93,596;91,2365;91,2365;90,45;91,2365;90,45;90,45;92,023;93,596;90,45;92,023;91,2365;92,8095;90,45;91,2365;92,8095;91,2365;90,45;90,45;90,45;90,45;92,023;92,8095;92,023;90,45;90,45;92,8095;92,023;93,596;95,169;90,45;90,45;90,45;92,8095;91,2365;90,45;92,8095;91,2365;92,023;95,9555;92,023;90,45;92,023;91,2365;91,2365;92,023;;;;;;91,2365;;;90,45;92,8095
